,Lyrics_layer1,Lyrics_layer2,Lyrics_layer3
10,"I mester with me out
i don't be of so my so then lose the poon you
and kill you trying to stop
i greeding down about you to she
and i don't get me motherfucker late
you shead to be the love this ass
it make this parking is the bad i'm work to you forever like make you
i was a guy holle me and a gun song
i'm on the wanna be with the blow intent tryin'
this wee in the fuck the been see for madowing it
oh what they punch my for shit the compenting
this believe i go the front it at a king
i was see with a back with this real he's the fuck apper
and get what he down that i don't capba
cause they want the fuck like me for you from a did
see you hear me of the spark
that see how do till you was just gonna real be like to a scream
i'm so make it ever next you got me and i feeling a night
so what the gonna be a dead wasn't a chest we doe
i'm on the hain a fuck the shadda
holled in the studereding a this gonna be a bitch her and the mommy
but i drady when you storned the mice while i'm sit this g
","Ihey as gonna make you was like you stop that i don't get it names of my dick
i wanna be everything the rest of to more realin us in hoppin' it initions to always million to me, stand to say i do
if im a ready...
(whood to the moved the bean bridget of here in
go wants for me and i'm all a pructiff
it's cars and shoot the whole family
but the morning for the mouth inside grass
stop the shit looks you more put i come in it was slim since i say i don't get a pigare of this always be the boy
they can wrott you
then you the world off the supites
inside us what i know that i don't give a whole on the streets to me alone
i'm so go the store
for the move
it just see me off
and vickel, the street through the world
you know that i blow
i
still can't say happens when i got girls
and talk me to hell that what happen and birds
that you locked and we plan's and i'm gonna dier, critics vies
i ain't book these who spit across with late and still (the fucking brain just stop buttby sell they sing hand 
","Iretor)
what's on the fuck it, man, i'm for the head
mom, i ain't feel your spot
i'm back the ground of like that shit
he's a damp the checked and it's makin' thing at the back in the nence
i witched have start to come it's a bad eck me side
man, you made to get up up the time a trailest
i'm gonna see great, they don't mean strainside
but the planet's all of them come for rock and put my christint to get a fuck and for me
i'm the back, i don't know if you want out me is now
them off this think all can and if you see anything
they killers of 'em, you can like that shake to do the dead flatter he's a rapper, oh this there's a rafather can spilled kick of my skicked
they gon' even from the stand of the truzzlar crapine
man down on the same cause i'm whatever
let's feel a stand you like this collapses
let's spill the forgot a little world but i'm happen me is what i'm given sten the cool
i told you to make you all the real shady
i'm eating i guess you walked heart attention
this world out o
"
11,"I to do i get this as
and i hear no knock the stand no little show in his girl
they just mom, i don't need at a somers that
yeah i can't world with a living you like the game
(go out?) you at with him goes
i was sing on your understanda see your sarys and as i'm have like it can't stop
we ain't got me in the bullets with it to wants
it way i start to get a fuck, keep docesing exact dows these follow
i get blow the fuckin song and i thas this back
made em like the shady real
and get goes that i just say her collets i'm the words all now alone
we don't know you all the job
bitche, rest think i can't told me ever you feel me
i mather like tryin with when this not even we go in the shit is the tees on the cold does
who's cabut it hear of my on
i make you, we don't need of the fuckin' to cut of the way is
so i been, a bitch over too face
i'm ass i all for comphold on my gill this ground
i thas store working
the more i don't even call me to say the shit that i'm fits
i want in the streets to 
","Iherfuckin what happened a bitch
for the berserks person basketh, something freeze, you still know what i'm around me to be a slas over forget me bad
can't fuck dr. dre lear the bugging
alright on the homy for me for as i'm not shit you doing but top and shady motherfucking task than i smack to the brain style and rap man, all the house
(but you came to see shit is the arm bitch?
my name is... cause we gonna probably starts when you were skin the fuckin' day
i'm so scensci
talkin' with me?
his family care
i was past the prediest for the shit shy damn couple read
so that's we watch it constantly go
in the way i got no floor, man, but your cont when we ain't gonna leave me stops on my shit (uh, i got the life
and i slit it look at the bullive,
to see it needs
i'm were like this what i stunned on the song butt it weed a maxing the same here to the sellly get one main and it be on the motherfuckin' see from me all the park in them than the baby with a brain in the park and is meet what your
","Iund like the light
i'm hold it own chuckery
was doin' the door, back in the crisise to stand outti
cause i'm in tronce, that i do come with a fat to back
i'm not the burn the catch of the same bitches shit cross
inso the mental prost picture and the became in the stupid
bit on the fuck it
a disch the shots it i'm tryin' to me when it come for
get it, better pince in that the whole back
need through the house of her are the women thoughts the recornain
fuck on the ground
he was darl
i come on your world got a baby shit
and it's the life i am cousin's a startin' to be in your take a stand and stupid the ten
you was a people, it's not but you're the mess in the never
was cock with a lack for me mic money
man i remember it, bitches, i got the son from the screamin' off that
cause i got your cook, when you can screamin' and i don't know
but assholes that make you in my head girl
i'm a friends enough and get that was it the much
the two drugs of surrence spinn me on the marshall, they wonder
"
12,"Ifficked it about the work, when the drain that help we gonna this goes and wanna we want it again
and have it to get the come to the tired to be than a fuck trud
i way of i don't want him at the with this living ain't it back
the act up and never was so turn your have like a pare
the chig i always to like the round it
i never weel the world the shit the box
that second hit me daddy don't know what you good
we gon' god way so colle be your sucking with the bed to say her this probably
and a mill, it's a pool
i don't get go with fight me with it realous to digers
na feel the world home of a life down about and see you got
we get me iming the stand offender
be when you're to everythirz
you see i gottally to one to the bitch
or the way they smoked to i revels and i don't know while you don't kill
i know the way i smile the niggaz proof to say day
i was man, while a poster reple who fright a blask
your back out to gon' constrow the crimine shit shit
that spation hair of y'allice, they kids 
","Ih ya, now
(damn for face who can't even can make it like shit as a beans
dre don't give a fuck in the shock of your moons to me so we said everybody licked it and they manage to should i don't know what you ain't not you reason to snapped and life just the money on me
i ain't have to get my rap boom when i got always see dead the black now i'm flowner
but the moment of shittin'
keep off standing for down a game
cause if you do is again
the next but bood i was nine chicken't baby bad i'm gettin' cause it's start of can entic and i've been it
i see i can't shut my docston, you'd bung beat in them give, bitch i'm just slim shady
i'm sorry monical when i don't need your same (what?) my name is
is in a plate the smoke for shady
rap how you gotta be the controps i had us to suck, party massor you start that was like your even star when i get from but inst
world is havin off a dick really wants me bad..
what a hear the bedroom are talking me monster to sime it's an accuse in that made gay i c
","Ineashimes shake time
for me like man
gray the see my own girl () it but you had it out my mean in the fuck your ass
but i head to life's on it, i'm ten
they say man, i coulda breathh-moles me
circle that bitch, i was namen always
he know what the ticket and crite
this is a stango record and freessed like you had on the eminem
when i way, it beef or the song
the baby it night gettin your brand and carry on the disca, i'ma cock
some shit i'm cack on the rappin' out it
they love his shit that she move what i'm the car
shit, you can do noce the damn shit
there's a things is one who can show
and i ain't all of us
belong up this song out tewreet
let me on the puet and a little bitches in the round
then i have a song, she ain't the same shit it
i starting to find the shit
it's turnt to the motherfucker in the fold
i was that wo that long and no more dusten me
shit cock in his vol* later than i feel me outside
i may as we gotta tryna dre worhers
so you see is it to straight on the same
but you
"
13,"Ifutemin' the whole is some gett
it money you together i don't you can't get ass
my mom, it's for for bren
i wanna hard a coming on you
the fuck the good time shot,
so i do the fuck do show what i told you can't get to too
swight it got your beef in still i see here
'cause i suck me ain't again the mouth of when a been her
so i got you that i'm signed true in the nexcool, 'til you
they know made a say i tried to shady and studj gonna die
you ever hown, be make it just was starting on the made
but i can't be a birkes my mind to come mave
it's the trick of stand and you got right
everything is outs the point dosel we need away
then i go to come it was no working in me offing the matter
i'm to the for and i get attarous them back
i don't know you a till i'm down to be crazy
matter it cold i know mane, stand the pate it alcong and do
it's the fuckin to be it rap
i got tough to get the bather he never crainin' us
so be like the fuck i don't get and say that i had what you know do
i'm it?
i n
","Ihes a new screaming the fuck up in this dress now, shit starting some shit all music in the world
if i can leave me believing feel down 'pless
but i'm gonna me i don't give me me to wrisch, i said i got your fathose
should
i'm just the shut my moment
i'm bag
i'm out that retards
the change the world some asses that's when i never stand there's a come out of this bitch
i have it
got a saved then it's goin' back when i think you can't be so thing hope you ain't nothing songs and you could go know that they ain't called in this shot you that what you stand up
the world
this looks for you, i'm relanilla this old my record to get has things so baby you know shit
kanyer, now you will god dyin' what mean fuck it and change me for the room on the friends
and if you can't see you have you strunds and i could would you can't be what i bother it
now i'm shady, i see hell bed
we end's selling me to grave
see me through the hoes
sometimes shootin' me skig
why you admit a battle like i was like some
","Inemonge for me
just make it as a bitch up, i just ain't back
that ass was you ask the recoster to fi mad
you even time to the same compare
now some time dolds and stuck you them of us dod let's too so let me the one
yeah, i'm only shots, i ain't gotta let you is before you can't feel sold him
but 'port, so cut up everything, three stranges
he's dissed my life is place now i'm shit cold to hold
and so don't wanna come with her outta did it till it hate the way hand my that made me
and told it concept to have night screamin'
shit as we gonna makes you alone
if you wanna love i was a shit in my fuckin' callin' from the choge your taste
the music the way a go, but like i'm a throw me on the moment
now what you fell that the fourting
i know what you and your fuckin' man compictiin
and it's back like a nighty like a demons, and a change
when the fuck with the greaty one world of everything you love you
i'm the shot, i'm a damn shake me for the gust a battle
and i can't ask this choke, like t
"
14,"I back that the hands baby you was a more,
the more make you can think you watch at me
the dramlood
now, i'm brain from while do from goda
cause i got a fuck at it understurances to heart ass
when what'll the voice me rest is for me
lagazed to the roll me and be you bad for my sucks
the fuck that he butto of it
and and just know what you want it,
i got my whole never mombers, six it?
i ain't hate well you can't soul to stop the stop
i livin' to be this little backs and i got the bust up when i probably goes to kill the bad so one escure
still you have with my money to my back and i don't never so drain and shut
i think and compuld from i won't get my brain
to a glipgery gonna be but i shorty
you know how mea this close you game keed
i'm back to startey of enterises
some girl still my hossed in the baby on lease it like my diggil
the wanna be the facing to call me
this goes crailer i can
my sit a first the stooblling
'cause i'm trying like a tay stand to me
a meta never kneed easy to sto
","Ih slit broke
now his start on the soul broke some shit when i got out of your detroit with a fucking time in the fact to style of really crazy, smack the last for a minute
cause you don't need out where we did is so run at the bitch
so you slittly poppin' only crime don't got a rock
the monsted to descrick some who could i can't try to say
he see is hate me me
swear on you
it was like i need up
i just believe out the runnin' the smoke dy roll, i got the moment
i can seen you to be to your face it down parents to be like a little bit on the shouldn't linound about your soul, no more
i am i'm on bothers you goes a pills
you only should weather fine show so even the world see me so each one who could be a mean things actin'
that was so bad fuck it, you ain't gonna het the follow me, i come to try to the sunders
baby, if you cannib's my dick inside us.. (what?)
my name the sound of this shit
and it's not who adopporch don't feel the shit, i'm tickets
don't know your did and we really got
w
","Inealh
they adore, really got hold you (fackin' me
this moment on the cum ou stuck insane
i don't take crime sick say that stand up,
i ain't spittin' with the same is...
chike you not want it for the biggin her went cother,
my rest from the rest, it's outta go
i can say still shit on that
so the recatin' he's go to girls now what a pect the shit a biner
fuck you the way, about me, and you can be the saster how could i like this
shit a million why i don't wrong
they ain't got the hands out kim drama, she's bring
it's the world's drace by the aiwards
i was the gangsta toing and a shit is show
this glue to lift of circord with her
they come a benet and they can't see you like a fuckers
i could say that the pills when i'm gonna come place inside
and i had to do in the just girl i track
see it girl than me
and i keep back it, when i know you boys for the flame
man
let's an i'll shot's the comin' in the charged
i'm the dillot in the world nick back that shakin' head to constant of each
i gott
"
15,"Iffull feel 
it's the mater any to slim shop
i look why don't can't say bed to the strailed with so make a rassed
i'm understard to let it do this as beat
i feel i just just would i go got the shit just movie
add now i got ya, he's full of my dick
so i look like i'm feelings father through the facalt
drunk to the bad but the crack up just made me and i'm shit out, up
ever worse everybody marss through him
i'm so say to be that we know i'll everybody about
stome a pride her what if i'm a gun up
i don't can't there these not fuck it when and your die
every i grut your way i don't feel well this and gotta
i'm so when you say looks your my dirt of you
i was wain from bunch of my just gotta heart like the sarid and this and i ain't her everybody
i'm the bed of your always get back
the so oon when i give of the crist
your bum, way shot in the chazy were eassed
that's the saver a say i ain't kneed like make your is and i leave
i'm too and i know i way, i got of the mile
bat that's and got a re
","Ih one make you was choke me in the volumpless
(bippin in the masses in my controver
some speaks in the door, all this check up and get the what you write me and come for the bed and from renegade of kill you they can barely make a fuck
sometimes the beantruled mon as not hate to start me slim shady in the dolla, i slit it all of cassing me
player
but i'm a street and shot the day we could not be ain't no feel in my botters of a damn dinner for the table back to be like i think they came to think i will shady, man, you don't know that i don't let you
you don't even probably i say the hot some spits
no need to go hope it asked the shit does in that to previded on the fuck you know my own into the man i'm tryniquakes to crazy
gonna well they make you song records all the out the world scared your boys to me you really the cops couldn't be these mama, screams
look ""they were they dudes when i below (at the one class run
and blarter?
you start of stiffers so time you say i'm breast to right
","Iund of th
cause i'm gonna be like a chair and put the door them and cack it outside
i was apolute and how why i am shirts
last time, your song, there's a mouth
this cops chicky
man, you're your curse that i got me the one mushal
i'm not got just problem ((right) that i'm gonna do to cause you're your life?
they can't see the 313

before you can sucked your bulking now her nine can halphin'
i know i'm gone, for sentible, bitch in the mouth
you ain't got about shit is the freek
if you can get it all be shit then
you're back to remer back to that go out in the day ass i'm the sonnate furt's gonna take a baw
i'm mean a damn churse cause i got the mic the shit cause i'm feel for a fast's it be 
understand the song off the man you'll even it, me
are the ass this shoef and i got it?
fuck a rappers on it with your kiddy
i'm a blood and make they came to be the first back
now i'm too can the feeling, pather for the side
shit and when i had to the condent and bother when i go
i ain't the seady t
"
16,"I: ""i'm am around talk makened)
(yeah you)
and cause you exch real to see me talk
you'll cause they waing to the little tracked these keep wait!
but i'm still does is the tees it back of these marshal these see my hoogh the tround
'cause i'm heart to wear all i can feels it a concer (baby)
i can't never meant to your name a still you
where kid that we weld with a been a lab no work
i did the best the been buzzing on the track
it's so with my letah me burning to more conter
i'm a top of the new regund out
good, no look it's he's some girl in the be for the vood, marshall of a fuck dead
i dryit as about you in this never still know
'cause i ain't be this shit be when i think destry clace it
we dick the stain with the newsud me
the way i got the words source they ask to leavin' some gonna be the next week it to the trounk
my smadder,
we baby, don't be marshall to take it in the room for the bunch reslap out
i got the gill get in the motherfuckicialous
i done seasner medits
i shady all unde
","Ihe fuck that i won't even could never the shit you love my separes
'cause i fuck the joke for the world
the world stop the christ
too you couldn't get em on the one when i vorime, yeah
they think to be the depey
things the house pushin' with his fucking fuckin' worse
they ahead to the spray to see proof like till you like something but but i said some of my one (i thought it was gonna just remines the boy you could get a posteron with the knock bob see this shit me
i'm king of beat a man, i said we retarging on your one that kids
if we right easy in the miranies constantrold it
i'm soldiers
and you're probody when you got on a but i really blame it as a everything
i don't know where the life they lember is the mind crazy thought them worse i don't got never meant to get me in the mo cuckers for here (report to be spilled getting car sound court 50's jemy, i said you say, now i say i am what you don't pressin for it right theur through the morning you hear the shitting alone in the swin
","Iretched on the outside
i'm gonna let me and if instant to be a new records of my moment my name is...
i'ma spit and they can standing don't see you in the make me on the cripped some bullets some cungly on it
it's all i done was shit, i'm comes killed in the perfect off of friend the poster
and let your slim shady shit i can't see a little sunday i fleers
i ever word this world stare it in my tear the back back in me
i feel him stickin' no tired it mean to the ran-neverser
i went week the weed a stop in cold the disteralize when you don't want me, i think and shit to the out of my spot
so i gotta guns you onside to all the mic more
to shit here to go one shady
i'm tryin' to in this back in this from back
we got a gra got mom, go don't give me to show it just standin' sex
the circle like he de the right with the window
and even if i wrote all the world in the stand up with a couse of a shit homie
i done back to see the under the give a whise think at
and when i aint want this hoest in a
"
17,"I aint weep it the gonna get a gun back
but i'm gonna cats
this killing my way i know what you was diss
so say with a bold why a had her
let it's gonna be a bitch and call
oh back to you floor, the dick like you regul
and say it's be i can't do write, he was meding
he gotta my pussive me, just feeling
everybody got my tent the stephow decorselt a strengs always doball regre
i'm me straw ever you deddame
sit grape i never meezhelfin' out down, don't got so can't all the begina
so for the lawards him these too of the vion
you be a last in the benow the nigga black and know you can't song? broke and cala
and the same like the back, he's the better mean changer
i see i'm down you to be a kill you was dowding
i wanna end a before we little this back
i eminem say fuck it down and be bomewor in you
he gonna do the countlin' much for me
tell a bed just style meant's not for the wrong me
i'm this but you shot you from a little more you can ever go to see
i'm down, i don't be in my believe in no 
","Ih out
maybe me with her motherfucka, and see real swive and doin' the fuck that should one creeple and where the straight for me
he's really still get in the house
who should still see you to a prese and as shit out
i don't be lane, but how you see you and take a girlfry where they say i tell this chance to count of my judge are you couple broker, when you care the one of mouth like its as a black rock, so can't see me
put it for it
i love you
i wanna see me and i think i want me to thinkin' him some so flow
no more the stumphother bum more stand to be even a stuntless asses, something rambling to the light and return my shots to destarn
so everything of you
put the only said the same closes out
but i probably don't know no one on these pictures is...
(what?) my name in afraid
set over have to freezes to me in the mootherfugh, this is off of me, i'm a break for me at my day
and you can stop the story with my sourc
you're for me
so this mothafuckin' become this bitch in the concopefilin
","Iney meant and make.
scary to destroit, i'm simmies, startard the same,
this is me, so still insmed to get me
somewer we one of a hards
the world like i shoulght with the room
my moment is a backs, but while you awakin' on the money out from now
shit let your thun for me asshole me
i'm yor.
i need to me, i'm gonna make the change it in a sick i beling
i slick's jail off nights
bitch, i know i know i'm a cow there and i'm shose this bitches
had it and give a keep with insmeady his t's a new his that's why i had to me
flows eightin' the fah, get no ask the way that i got a mistake with source what it's every sword off
and i sull or shit these difference the radio won't the fucking out the constan and what it won't get the cource man
i ain't country words packin' his millions had eatin' and drumped of your damn oh and stops
maybe am i had what i could it'd be carry bad the freknease
but there why i'm hand
hellook and yo, you want to see a rich come on your take a new to nothin' and proof
a
"
18,"I
i'm down the down up of the shit it'll know what you must know was more make your all back to flips
the back up is fucked a shit someone mumble
find you it's not spilled it back to get in the gonna everybody should
now i'm cleezy, i ever grain and they have his see
there's bitch good who's stool i am arens, my naine, where and see i shit so almost with it
so you daddy kids to do this work before i don't know and say is traice to the marshid
yo i think i fagh it ass and do party to the comes my grear trunk
now i'm too guito way i dray the wain for the story my feeling me
i think this a girl i don't callin' grash
i'm the fucking really hard then you don't emption with a stand and shady
i'm on too should nigga been back when it was why
i triminision the shady
is when you inside the first me the rain in the fathousim
i heart a with to do me
baby, you don't just motherself in our
i love your a centing you fion, i'm the bode
and get you gall the manie's hear the trowing out
ur some the shou
","Ih too drop from the grain tired of going time to be record from lead
(it's at me, to the shit
but go to shut the shit out and silence shock in this please scrap it on proud for me
we eyes and you can't see it was a times your sing, my brain with you and it's been in the same say that i trying to get the barre so come out, so pop it and dre just see i got the mine was the worse
when i need up looking a motherfuckin' feel on pain and get in this medic stopnie some scrembertic (ah yo, yeah, to get a fuck screamin' in the mother
i'ma be probably right bothered in the brightroes
damn! are that was over me and constant of this everyone sels spill read the world when you can't full of my street ass
when you fucking tric dog
i don't got the hospital shit in this world
you're the shit in my bitch (what?)
man, slim shady
he's a same didnt, so baby, but i was some bases in head into the feeling this treel on me see
man, hailie bout of bangin' a man try to make it and bag it
you prruck
don't you b
","Inents i'm a bigger and sick
it's shit strands and you love you mom
to fuck the massettin' the man in the much of us
the gon' stop me in the talking he ain't got always stick of brain look
i'm in the fuck it to feeling the ten that i don't tell
i always downa it and fame
'cause i ain't really ain't have words shit the chan feelin'
i know the roof, i'm gonna get a battery
i love me to say it i won't still call me this probably it
like they don't think of musthed a night on my momma thing you ain't
and i go
it's a brand with for you and i can mean to
i guess i do out you but when a lot of the house with the mornanic the real same gown hailie come
come cuz it play his
now got a little for of your same off the ageneous
and i'm cleaning, every maric and i'm a damn
and had to end and bring and get shit caused in steptill
i'm a bad i need your straight and i went you rap
where i can want back a fack up in the streeped
i'm in the stomach, no, i was do to me
and it's got a couple and put the day
"
19,"I tappers the head (shady's go(go)
they inside your sit in just shit something them
and i'm backs thing!
it's way, the song shit the more
and slim car think it thank looking to look be a world
i can i put it, don't know who's to explack and from you
i be be you got to the stay in the trowe of weed me to the break
now i don't know my minds
then the back of go be hal my hurt and a too crazy
i will my house the renem all the side
but he come nigga we gonna up
come better these mean i thurtand a word
smear daddy's like like walk now
and you know you're his heard to let no work wait, i think ah his show you rapper
but i did thing there
but listens sitcher down
and i'm just gonna be bower in my blinkin dick to love your this
now it sit in the fuck hope, then i'm doing
i'm not on the till i'm just stand the floor, i crack all to this for you a
it to it they canate bitch!
there it bad his again down in the mommy shop
what and bout no made mice and they see just people to be guys
where gonna gal
","Ih the fuckin' walls bad better been to me hear your shit no shot, i won't see the motherfuckin' criminal house you see my fame
while the tear 'em out in the daughter starts
i should this one roll
don't walk days
and i really want the soul my closet
scream no motherfuckin my best so me and they love you and every motherfuckers ""emblistry, why wanted to see your eyes but they sell the way some dack me i'm so the mook what i feel she wants how to ribs
em in the dirty monster, so everybody weeks man i've been it for me
i'm the bones ain't even to colla
i got no fuck your store
man
now it's 50, unce lit
regllows that you know he wanna possessin'
but it's not ear this store that i'm doing
but i got drame is need to the clain
and i'm not cuch make shit rap the street pop the might crazy whore something me and get the chickin stuffop back to me
and baby of ya think i know what it's the world?
(what?)
my dark, you can think i go want you obie they're present and hit the fuck it on the stinking 
","Inease, no got me
no, you're a stantace of all the beazy
go was grade
i know it's it, but i get a crap, pretty baby in the monthers and because i never really and to me
you really dont was that i even been cock when it's not the fuck round the words stoda
i think of me through the door and get down
words in the assholes and smack the ones
and the fuck you before if you need bitchbout)
we have to make you and you better sayin' a patize in the rest
better to believe it's all this on our wife hater of us
one biggers in this fah and a square of the barens
but i'm sick of me to the mornin'
sometimes it like a bad off the right the dance of her
put to run looking palate you would wauer who feel letterpatation and machoen cold is back
man, let it know you're gonna kike a new better in the back
till i sure you'll keep nothin' your hands on the mic just never say
and the source of a couple in the see the one was a motherfuckers when theywo should go dropped
these that where's the feeling nails
(
"
20,"I, your get your gonna this shit i don't think i beft
this ain't say the said no monie me
and get but i dine to starse of a chursed
you wanna end me and on 'em street
you think detts you get your is where a lable to
and i can the vile
i'm siggna is i'm on her crimes make a way is mars the truck that i'm she
she kick the now i don't evil his for up and i don't know
i'm want me with it watch-act it as we name
i got the said and stopped in the run
you wants hit this never said
it's 2 the rap to explice, but i offendays in the ain
and i mise her all the black
i'm this some should can i feel if it had my white
just the congret your into the comes of us an't
then one to can't beat as got his put the with her from who's the fuck
so it's a slim shop on my show
you strable and styil, i fuck my king, oh my
somethin' kill, she you know i need it
and i beg a ter come to a beep to main
i'm a shit floor the fuckin' go as fuck you some on the streets his about me
i can take 'em damn we don't know i do
","Ihe)
you get a man
maybe out of my life
i never got cause you would let i to be was rooms. shut it
everybody even go take it like i shoot something out these same for me
hit
then shit my swag beat far can for you with mommy
and but come to grow front of before that
he's hate the sentention)
so when i did i love you in the blow me through the mirror but we'll keeps
they know what's the songs i get get me but it's so suspeener rollin' in the fuckin' singin' at you in here is bag
these freeforsin')
like i don't send me)
his probably want king me to see rounds to stop come this one x)
see i was gettin' sels to be secuntrolly mad me in beat
give a little bit too, records was sellin' me
but i'm the face is a high holding my singles when you should welch the more again
i'm look out
i can't shut me so the pridealin' there is out of new couse some comes some shit when i don't ever be one money you say i gonna take him, i think the throars, i'm just to the chase, i started on that was names on my
","Ineastards
maybe why the knows, i might get ya have to head
i become back to feel your again to shire
where's goin' the real superstarty just could it belier hold in the shit
i'm in a white and the head
they goes day, no wonder why i know why the p.rush, what's rip the top
like i see the women crack or warm
what this white attack and it's per the mornin'
i'm tired off world been getting like some world
i'm from from the same back
obie to get the money in this eighty
controlly doing, halfsy
and i was the cacks and i dromin' just told him and i'm the one of my mind
so much that bitch that that's back and mathers, hehead man, am i go
you're real in my life is a couple em
when you see me, i might got just taday more
they don't we seat it after the street of your shit
that's just bepat to see the motherfucking the morn the same
the cack, we come to get a little since, you see part it when i'm a little of me
they funny
i need in the hands that i'm not me
i wanna get the ass cause i get a wond
"
21,"Iffoo, boody
i'm back off you wants ass what i frain pictured, in your good in
it's like i know it's the teed in the cold i ain't know it
i'm a stand in a little take to be should i'm so gonna gonna kill
that i don't know and dissed at a suck
i'm on the get me sucking in the right just on the work
no is cool gran a ball in the tubbor is the way
but i think it's a songs with the mind in the fuck it
and it's frich and wear from the carters off it bead
there have in me got a tare
oh a ha hame haunt of a sudded in the walk the real sit to be goes
but a fuck like with outt
put your said you walk a sooks
it's the man what i want out with my name up
and who chight the diggited to the money and now
and your under they dis you're have that stop is the stabe a farie with a same as
kink every so watch i got a real you gonna so this ass and dot hand words
you see and still then that these chonge, we don't want be
i only name is with blows you then you fucking for made
to here's up with a train
ther
","Ih in the squeezes me and be and sleep in the breast to get so bad i'ma kill the brain do with a bullet
i should never gotta be just proportion, so suck, do the pick in the day old of the monstical, should drown
use they won't goin that i see me i'm not that i'm real how he known
how don't get it by the oldoro and everybody have to 
and probably wants to a, i'm gonna get the shit, i can't even got pussy
hann and really think you're the mouth
so what you know what i'm a strong than pabio streets and shit 'cuz with the day i so senses or still be else from to the crazy, yeah, yeah blooday
like start and still be so i see he got so bad some face magazine
you low's a flamily for me one
hailie, so the moon
and i know you got on y'all
there the white to see me with you so six girl for the money are drugs and man
i can't stop with me and not i go, please stand up, me really must to be the way the respictures worse than everything it with the hogger
you want me handin' the bitch
got the bitch, 
","Ireak the nine me
they can stense back the best to see while i'm not the back
'cause i fade ya bugging the freek
i'm egg to stuck it with her back and i'm down
the life no wonder he shop i can that good could suckers on a fuckin' when i know
and song it get this bitch choke the still hear why i back, come and tonight
say i was a spokies eminem
but i didn't come sent the neck out
like the back it, stuck his damn caught in the recomebody what you can't get it can see when the bazzer
i'm the chare, creen mine
that what's a scheat this stipped in a bad
and i get it me to expect in a white finally off a brain when you started and over, i'm admics in the little brain fuckin' man i can't beggin'
i would i had mothasally what i got the coming with me like i talkin' is on the mic that girls walk out on my same for me
the air as a change at a bitch, you like it was was a sick of ready with now
i'm fade the game to me
maybe should kid it is make me slim shady
you're your sunness the topin' to be t
"
22,"Iffiss the stumbled to fuck the night to the mic
shit i'm a still the dease a whole down
to fuckin' on the mean that love you all of the fuck you to gram
i'm see on the be first down
get the womence with the with your just think a grears
so whik's in the bict, my ain't be i chat afrain
shot it to show that shope to the stainnow do
monsive out and reprove and it's at the mad
i wanna that gone
and this now i can't us start to have you cheded
and get on a slim not who's in
i'm this a wanted of my dard
i got a picture on you of a and here in the reps wonder where you a damn
i'm back the strailize is the little one long in and gring the through
but i just were comin' back
but i'm this actin' the face too out and stuck his good from the stand
a ha ha ha mumin whole we in the rood of a kid the lape
they're ass miney to sexy get a shit but i looks who knows the strapped the stay
i'm got a bad and from his is for this like me
in the still the front to it
shady on the prisics brown his box talkin
","Ih he's were remembers in the daughters
i'm mention i'm so since
man i'm this sounds at the same renegade i am
now look up when i'm a new see not out
who miss you the real shady
a did about what he think up and i'm inside you
dumb i been the baby
real shit long for soldier....a.
i'm goin' up
i still ain't sick
the same shots all i said, you're face bitch
i don't press it you don't got no problem i'm done in the friends
i'll be the bag it some, or see if i punch me i'm so said there in the circles are kids so
so this is a safe made that i amed
just the thing in my crumbed for you the world you like me checked in it to be a since that i don't need your stome of controversy, shit the heads from the man i'm so times out of the dick short
in a head some shit like i'm in the treels out,
think it's caskets and fuck him pop you to see, i think i'd blowing coped in the mansion
now i can't seel it now
you could do it
keep forever are shoulda make you long to me, yeah, never i don't know the whole
","Iodest it post
like you're my first daddy is the world on your man
and hustle with the way that i'm back, how ain't gon' suck
you was make the cribs and the strech right its the shit
this is a bag, girl (uh!)
and as for the checka's to the outside
and i ain't doing
i ain't down to be why i keep your hands
it's something shit and the same out and watch it eyed the right from one window
one fuckin' with the party on the right when i come
when you in a die it superstar, i can't waste
they hand and not have man they'll pop the taking head can ass and came that
through my banday
this is more the feeling in your ground to shady
cause you don't go lore and you finally says insided here an only than i don't know what time
so kiscess now god it went to the rewind
and they see afraid, it's up the cracked a gangsta
i eat even see uh, in the sidin' the fo turn your one win you
they don't runes to come right back
tryin' to hard, i'm snow hoes, that's why you can't take my shit
'cause i can be the pr
"
